mes,dia,hora,altura
25-01,01 - Qua,03:57h,1.8m
25-01,01 - Qua,08:21h,0.4m
25-01,01 - Qua,11:55h,0.9m
25-01,01 - Qua,17:01h,1.5m
25-01,01 - Qua,21:47h,0.1m
25-01,02 - Qui,04:44h,1.8m
25-01,02 - Qui,09:02h,0.4m
25-01,02 - Qui,12:27h,1.0m
25-01,02 - Qui,14:23h,0.9m
25-01,02 - Qui,17:47h,1.4m
25-01,02 - Qui,22:21h,0.1m
25-01,03 - Sex,05:27h,1.8m
25-01,03 - Sex,09:42h,0.4m
25-01,03 - Sex,13:02h,1.1m
25-01,03 - Sex,15:16h,0.9m
25-01,03 - Sex,18:29h,1.4m
25-01,03 - Sex,23:01h,0.2m
25-01,04 - Sab,06:14h,1.7m
25-01,04 - Sab,10:12h,0.4m
25-01,04 - Sab,13:42h,1.2m
25-01,04 - Sab,16:08h,0.9m
25-01,04 - Sab,19:14h,1.3m
25-01,04 - Sab,23:36h,0.3m
25-01,05 - Dom,07:02h,1.5m
25-01,05 - Dom,10:55h,0.4m
25-01,05 - Dom,14:14h,1.2m
25-01,05 - Dom,17:02h,0.8m
25-01,05 - Dom,20:06h,1.3m
25-01,06 - Seg,00:16h,0.5m
25-01,06 - Seg,07:55h,1.4m
25-01,06 - Seg,11:31h,0.5m
25-01,06 - Seg,14:55h,1.2m
25-01,06 - Seg,17:51h,0.7m
25-01,06 - Seg,21:02h,1.3m
25-01,07 - Ter,01:10h,0.6m
25-01,07 - Ter,02:51h,0.7m
25-01,07 - Ter,04:59h,0.6m
25-01,07 - Ter,08:49h,1.3m
25-01,07 - Ter,12:12h,0.6m
25-01,07 - Ter,15:32h,1.1m
25-01,07 - Ter,18:29h,0.7m
25-01,07 - Ter,22:02h,1.3m
25-01,08 - Qua,06:04h,0.6m
25-01,08 - Qua,09:51h,1.2m
25-01,08 - Qua,13:06h,0.7m
25-01,08 - Qua,16:08h,1.0m
25-01,08 - Qua,19:08h,0.6m
25-01,08 - Qua,23:04h,1.4m
25-01,09 - Qui,07:08h,0.6m
25-01,09 - Qui,11:02h,1.1m
25-01,09 - Qui,14:25h,0.8m
25-01,09 - Qui,19:55h,0.5m
25-01,10 - Sex,00:06h,1.5m
25-01,10 - Sex,08:12h,0.6m
25-01,10 - Sex,12:12h,1.2m
25-01,10 - Sex,20:31h,0.4m
25-01,11 - Sab,01:06h,1.6m
25-01,11 - Sab,09:12h,0.6m
25-01,11 - Sab,13:12h,1.3m
25-01,11 - Sab,21:04h,0.4m
25-01,12 - Dom,02:02h,1.7m
25-01,12 - Dom,06:38h,0.7m
25-01,12 - Dom,14:04h,1.4m
25-01,12 - Dom,19:25h,0.3m
25-01,13 - Seg,02:51h,1.8m
25-01,13 - Seg,07:12h,0.6m
25-01,13 - Seg,10:57h,0.8m
25-01,13 - Seg,14:59h,1.4m
25-01,13 - Seg,19:55h,0.2m
25-01,14 - Ter,03:36h,1.8m
25-01,14 - Ter,07:55h,0.5m
25-01,14 - Ter,15:42h,1.4m
25-01,14 - Ter,20:21h,0.1m
25-01,15 - Qua,04:19h,1.8m
25-01,15 - Qua,08:31h,0.3m
25-01,15 - Qua,16:19h,1.4m
25-01,15 - Qua,20:59h,0.1m
25-01,16 - Qui,05:04h,1.8m
25-01,16 - Qui,09:08h,0.2m
25-01,16 - Qui,14:04h,1.2m
25-01,16 - Qui,16:59h,1.4m
25-01,16 - Qui,21:27h,0.1m
25-01,17 - Sex,05:49h,1.7m
25-01,17 - Sex,09:51h,0.1m
25-01,17 - Sex,14:04h,1.3m
25-01,17 - Sex,17:32h,1.4m
25-01,17 - Sex,22:02h,0.1m
25-01,18 - Sab,06:29h,1.5m
25-01,18 - Sab,10:23h,0.2m
25-01,18 - Sab,14:40h,1.3m
25-01,18 - Sab,22:38h,0.2m
25-01,19 - Dom,07:08h,1.4m
25-01,19 - Dom,11:02h,0.2m
25-01,19 - Dom,15:10h,1.3m
25-01,19 - Dom,17:01h,1.2m
25-01,19 - Dom,18:51h,1.3m
25-01,19 - Dom,23:10h,0.2m
25-01,20 - Seg,03:02h,1.0m
25-01,20 - Seg,04:57h,0.9m
25-01,20 - Seg,07:55h,1.2m
25-01,20 - Seg,11:38h,0.4m
25-01,20 - Seg,15:42h,1.2m
25-01,20 - Seg,17:19h,1.1m
25-01,20 - Seg,19:49h,1.2m
25-01,20 - Seg,23:53h,0.4m
25-01,21 - Ter,03:25h,1.0m
25-01,21 - Ter,05:59h,0.8m
25-01,21 - Ter,08:44h,1.1m
25-01,21 - Ter,12:12h,0.5m
25-01,21 - Ter,16:02h,1.1m
25-01,21 - Ter,17:53h,1.0m
25-01,21 - Ter,20:49h,1.2m
25-01,22 - Qua,00:29h,0.5m
25-01,22 - Qua,03:59h,1.0m
25-01,22 - Qua,06:51h,0.8m
25-01,22 - Qua,09:38h,1.0m
25-01,22 - Qua,13:01h,0.7m
25-01,22 - Qua,16:04h,0.9m
25-01,22 - Qua,18:06h,0.8m
25-01,22 - Qua,21:47h,1.3m
25-01,23 - Qui,01:14h,0.7m
25-01,23 - Qui,04:27h,1.0m
25-01,23 - Qui,07:34h,0.7m
25-01,23 - Qui,10:46h,1.0m
25-01,23 - Qui,18:29h,0.6m
25-01,23 - Qui,22:40h,1.3m
25-01,24 - Sex,02:16h,0.8m
25-01,24 - Sex,05:02h,1.0m
25-01,24 - Sex,08:10h,0.7m
25-01,24 - Sex,11:59h,1.1m
25-01,24 - Sex,18:53h,0.4m
25-01,24 - Sex,23:25h,1.4m
25-01,25 - Sab,03:49h,0.8m
25-01,25 - Sab,05:38h,0.9m
25-01,25 - Sab,08:49h,0.7m
25-01,25 - Sab,13:01h,1.2m
25-01,25 - Sab,19:14h,0.3m
25-01,26 - Dom,00:16h,1.6m
25-01,26 - Dom,09:16h,0.7m
25-01,26 - Dom,13:49h,1.3m
25-01,26 - Dom,19:44h,0.1m
25-01,27 - Seg,01:08h,1.7m
25-01,27 - Seg,08:02h,0.7m
25-01,27 - Seg,14:34h,1.4m
25-01,27 - Seg,20:10h,0.0m
25-01,28 - Ter,02:02h,1.8m
25-01,28 - Ter,07:21h,0.6m
25-01,28 - Ter,15:14h,1.5m
25-01,28 - Ter,20:40h,-0.1m
25-01,29 - Qua,02:55h,1.9m
25-01,29 - Qua,07:55h,0.5m
25-01,29 - Qua,15:59h,1.6m
25-01,29 - Qua,21:06h,-0.1m
25-01,30 - Qui,03:42h,1.9m
25-01,30 - Qui,08:19h,0.4m
25-01,30 - Qui,16:38h,1.6m
25-01,30 - Qui,21:29h,-0.1m
25-01,31 - Sex,04:27h,1.9m
25-01,31 - Sex,08:57h,0.3m
25-01,31 - Sex,12:17h,0.9m
25-01,31 - Sex,17:14h,1.6m
25-01,31 - Sex,21:57h,0.0m
25-02,01 - Sab,05:10h,1.8m
25-02,01 - Sab,09:23h,0.3m
25-02,01 - Sab,12:59h,1.0m
25-02,01 - Sab,14:40h,0.9m
25-02,01 - Sab,17:59h,1.6m
25-02,01 - Sab,22:16h,0.1m
25-02,02 - Dom,06:01h,1.7m
25-02,02 - Dom,10:01h,0.2m
25-02,02 - Dom,13:34h,1.1m
25-02,02 - Dom,15:40h,1.0m
25-02,02 - Dom,18:44h,1.5m
25-02,02 - Dom,22:49h,0.3m
25-02,03 - Seg,06:47h,1.5m
25-02,03 - Seg,10:34h,0.2m
25-02,03 - Seg,14:08h,1.2m
25-02,03 - Seg,16:36h,0.9m
25-02,03 - Seg,19:29h,1.4m
25-02,03 - Seg,23:16h,0.4m
25-02,04 - Ter,02:16h,0.8m
25-02,04 - Ter,04:08h,0.7m
25-02,04 - Ter,07:36h,1.3m
25-02,04 - Ter,11:08h,0.3m
25-02,04 - Ter,14:51h,1.2m
25-02,04 - Ter,17:27h,0.8m
25-02,04 - Ter,20:27h,1.3m
25-02,04 - Ter,23:59h,0.6m
25-02,05 - Qua,02:53h,1.0m
25-02,05 - Qua,05:23h,0.7m
25-02,05 - Qua,08:27h,1.1m
25-02,05 - Qua,11:55h,0.4m
25-02,05 - Qua,15:23h,1.2m
25-02,05 - Qua,18:16h,0.7m
25-02,05 - Qua,21:40h,1.3m
25-02,06 - Qui,00:46h,0.8m
25-02,06 - Qui,03:21h,1.1m
25-02,06 - Qui,06:27h,0.6m
25-02,06 - Qui,09:34h,1.0m
25-02,06 - Qui,12:40h,0.6m
25-02,06 - Qui,16:01h,1.1m
25-02,06 - Qui,19:02h,0.5m
25-02,06 - Qui,22:55h,1.3m
25-02,07 - Sex,02:01h,1.0m
25-02,07 - Sex,03:53h,1.1m
25-02,07 - Sex,07:25h,0.6m
25-02,07 - Sex,10:53h,1.0m
25-02,07 - Sex,13:42h,0.7m
25-02,07 - Sex,16:25h,0.9m
25-02,07 - Sex,19:46h,0.4m
25-02,08 - Sab,00:04h,1.4m
25-02,08 - Sab,08:16h,0.6m
25-02,08 - Sab,12:02h,1.1m
25-02,08 - Sab,20:16h,0.3m
25-02,09 - Dom,01:04h,1.6m
25-02,09 - Dom,09:02h,0.6m
25-02,09 - Dom,13:02h,1.2m
25-02,09 - Dom,20:51h,0.3m
25-02,10 - Seg,01:53h,1.7m
25-02,10 - Seg,06:47h,0.7m
25-02,10 - Seg,13:57h,1.4m
25-02,10 - Seg,20:34h,0.3m
25-02,11 - Ter,02:36h,1.8m
25-02,11 - Ter,07:08h,0.5m
25-02,11 - Ter,14:40h,1.5m
25-02,11 - Ter,19:57h,0.2m
25-02,12 - Qua,03:16h,1.8m
25-02,12 - Qua,07:46h,0.3m
25-02,12 - Qua,15:16h,1.5m
25-02,12 - Qua,20:12h,0.1m
25-02,13 - Qui,04:01h,1.8m
25-02,13 - Qui,08:16h,0.1m
25-02,13 - Qui,15:55h,1.6m
25-02,13 - Qui,20:40h,0.0m
25-02,14 - Sex,04:40h,1.8m
25-02,14 - Sex,08:57h,0.0m
25-02,14 - Sex,16:25h,1.6m
25-02,14 - Sex,21:04h,0.0m
25-02,15 - Sab,05:17h,1.6m
25-02,15 - Sab,09:27h,0.0m
25-02,15 - Sab,16:55h,1.6m
25-02,15 - Sab,21:34h,0.0m
25-02,16 - Dom,05:04h,1.8m
25-02,16 - Dom,09:08h,0.2m
25-02,16 - Dom,14:04h,1.2m
25-02,16 - Dom,16:59h,1.4m
25-02,16 - Dom,21:27h,0.1m
25-02,17 - Seg,02:12h,1.0m
25-02,17 - Seg,06:40h,1.3m
25-02,17 - Seg,10:34h,0.1m
25-02,17 - Seg,18:02h,1.4m
25-02,17 - Seg,22:34h,0.2m
25-02,18 - Ter,02:25h,1.1m
25-02,18 - Ter,04:55h,0.9m
25-02,18 - Ter,07:17h,1.2m
25-02,18 - Ter,11:04h,0.3m
25-02,18 - Ter,18:55h,1.3m
25-02,18 - Ter,23:04h,0.3m
25-02,19 - Qua,02:53h,1.2m
25-02,19 - Qua,05:51h,0.8m
25-02,19 - Qua,08:04h,1.1m
25-02,19 - Qua,11:40h,0.4m
25-02,19 - Qua,16:59h,1.0m
25-02,19 - Qua,19:57h,1.2m
25-02,19 - Qua,23:42h,0.5m
25-02,20 - Qui,03:14h,1.2m
25-02,20 - Qui,06:34h,0.7m
25-02,20 - Qui,09:02h,1.0m
25-02,20 - Qui,12:10h,0.6m
25-02,20 - Qui,15:38h,0.9m
25-02,20 - Qui,17:32h,0.8m
25-02,20 - Qui,20:59h,1.2m
25-02,21 - Sex,00:14h,0.7m
25-02,21 - Sex,03:44h,1.2m
25-02,21 - Sex,07:10h,0.7m
25-02,21 - Sex,10:06h,1.0m
25-02,21 - Sex,13:04h,0.8m
25-02,21 - Sex,18:02h,0.6m
25-02,21 - Sex,22:01h,1.3m
25-02,22 - Sab,01:04h,0.9m
25-02,22 - Sab,04:01h,1.1m
25-02,22 - Sab,07:46h,0.6m
25-02,22 - Sab,11:19h,1.0m
25-02,22 - Sab,18:31h,0.4m
25-02,22 - Sab,22:59h,1.4m
25-02,23 - Dom,02:19h,1.0m
25-02,23 - Dom,04:01h,1.1m
25-02,23 - Dom,08:08h,0.5m
25-02,23 - Dom,12:32h,1.2m
25-02,23 - Dom,19:01h,0.2m
25-02,23 - Dom,23:55h,1.5m
25-02,24 - Seg,08:32h,0.5m
25-02,24 - Seg,13:25h,1.3m
25-02,24 - Seg,19:27h,0.0m
25-02,25 - Ter,00:49h,1.7m
25-02,25 - Ter,08:47h,0.5m
25-02,25 - Ter,14:08h,1.5m
25-02,25 - Ter,19:59h,-0.1m
25-02,26 - Qua,01:44h,1.8m
25-02,26 - Qua,08:12h,0.5m
25-02,26 - Qua,14:53h,1.6m
25-02,26 - Qua,20:21h,-0.2m
25-02,27 - Qui,02:34h,1.9m
25-02,27 - Qui,07:53h,0.4m
25-02,27 - Qui,15:31h,1.7m
25-02,27 - Qui,20:44h,-0.2m
25-02,28 - Sex,03:21h,1.9m
25-02,28 - Sex,08:06h,0.3m
25-02,28 - Sex,16:08h,1.8m
25-02,28 - Sex,21:01h,-0.1m
25-03,01 - Sab,04:06h,1.9m
25-03,01 - Sab,08:31h,0.2m
25-03,01 - Sab,16:49h,1.8m
25-03,01 - Sab,21:14h,0.0m
25-03,02 - Dom,04:55h,1.7m
25-03,02 - Dom,09:02h,0.1m
25-03,02 - Dom,13:53h,1.0m
25-03,02 - Dom,17:27h,1.8m
25-03,02 - Dom,21:40h,0.1m
25-03,03 - Seg,05:42h,1.6m
25-03,03 - Seg,09:36h,0.1m
25-03,03 - Seg,13:12h,1.1m
25-03,03 - Seg,15:01h,1.0m
25-03,03 - Seg,18:08h,1.6m
25-03,03 - Seg,22:04h,0.3m
25-03,04 - Ter,01:16h,0.9m
25-03,04 - Ter,03:06h,0.7m
25-03,04 - Ter,06:25h,1.4m
25-03,04 - Ter,10:06h,0.1m
25-03,04 - Ter,13:53h,1.2m
25-03,04 - Ter,16:02h,0.9m
25-03,04 - Ter,19:01h,1.5m
25-03,04 - Ter,22:40h,0.5m
25-03,05 - Qua,01:57h,1.1m
25-03,05 - Qua,04:27h,0.7m
25-03,05 - Qua,07:16h,1.2m
25-03,05 - Qua,10:51h,0.2m
25-03,05 - Qua,14:29h,1.2m
25-03,05 - Qua,17:02h,0.8m
25-03,05 - Qua,20:02h,1.3m
25-03,05 - Qua,23:10h,0.7m
25-03,06 - Qui,02:29h,1.3m
25-03,06 - Qui,05:34h,0.7m
25-03,06 - Qui,08:16h,1.0m
25-03,06 - Qui,11:27h,0.3m
25-03,06 - Qui,15:04h,1.1m
25-03,06 - Qui,18:01h,0.6m
25-03,06 - Qui,21:12h,1.2m
25-03,06 - Qui,23:59h,0.9m
25-03,07 - Sex,03:02h,1.3m
25-03,07 - Sex,06:29h,0.6m
25-03,07 - Sex,09:23h,1.0m
25-03,07 - Sex,12:14h,0.5m
25-03,07 - Sex,15:40h,1.0m
25-03,07 - Sex,18:49h,0.5m
25-03,07 - Sex,22:38h,1.2m
25-03,08 - Sab,01:01h,1.1m
25-03,08 - Sab,03:38h,1.3m
25-03,08 - Sab,07:17h,0.6m
25-03,08 - Sab,10:42h,1.0m
25-03,08 - Sab,13:19h,0.7m
25-03,08 - Sab,16:02h,0.9m
25-03,08 - Sab,19:23h,0.3m
25-03,08 - Sab,23:57h,1.4m
25-03,09 - Dom,08:02h,0.6m
25-03,09 - Dom,11:49h,1.1m
25-03,09 - Dom,20:01h,0.3m
25-03,10 - Seg,00:53h,1.5m
25-03,10 - Seg,08:29h,0.7m
25-03,10 - Seg,12:44h,1.3m
25-03,10 - Seg,20:23h,0.3m
25-03,11 - Ter,01:34h,1.7m
25-03,11 - Ter,06:19h,0.5m
25-03,11 - Ter,13:27h,1.4m
25-03,11 - Ter,19:25h,0.3m
25-03,12 - Qua,02:14h,1.8m
25-03,12 - Qua,06:51h,0.3m
25-03,12 - Qua,14:08h,1.5m
25-03,12 - Qua,19:23h,0.1m
25-03,13 - Qui,02:55h,1.8m
25-03,13 - Qui,07:19h,0.1m
25-03,13 - Qui,14:47h,1.6m
25-03,13 - Qui,19:49h,0.0m
25-03,14 - Sex,03:32h,1.8m
25-03,14 - Sex,07:59h,-0.1m
25-03,14 - Sex,15:19h,1.6m
25-03,14 - Sex,20:08h,0.0m
25-03,15 - Sab,04:08h,1.7m
25-03,15 - Sab,08:29h,-0.1m
25-03,15 - Sab,15:55h,1.7m
25-03,15 - Sab,20:38h,0.0m
25-03,16 - Dom,05:59h,1.5m
25-03,16 - Dom,10:02h,0.0m
25-03,16 - Dom,17:25h,1.5m
25-03,16 - Dom,22:02h,0.1m
25-03,17 - Seg,05:25h,1.4m
25-03,17 - Seg,09:36h,0.0m
25-03,17 - Seg,17:01h,1.6m
25-03,17 - Seg,21:29h,0.0m
25-03,18 - Ter,01:34h,1.2m
25-03,18 - Ter,03:40h,1.0m
25-03,18 - Ter,06:04h,1.3m
25-03,18 - Ter,10:04h,0.1m
25-03,18 - Ter,17:38h,1.6m
25-03,18 - Ter,22:01h,0.1m
25-03,19 - Qua,01:57h,1.3m
25-03,19 - Qua,04:47h,0.9m
25-03,19 - Qua,06:55h,1.1m
25-03,19 - Qua,10:40h,0.3m
25-03,19 - Qua,18:19h,1.4m
25-03,19 - Qua,22:27h,0.3m
25-03,20 - Qui,02:17h,1.3m
25-03,20 - Qui,05:32h,0.8m
25-03,20 - Qui,07:49h,1.0m
25-03,20 - Qui,11:08h,0.4m
25-03,20 - Qui,19:10h,1.3m
25-03,20 - Qui,23:02h,0.4m
25-03,21 - Sex,02:46h,1.4m
25-03,21 - Sex,06:10h,0.7m
25-03,21 - Sex,08:47h,0.9m
25-03,21 - Sex,11:55h,0.6m
25-03,21 - Sex,15:04h,0.8m
25-03,21 - Sex,20:10h,1.3m
25-03,21 - Sex,23:38h,0.7m
25-03,22 - Sab,03:02h,1.3m
25-03,22 - Sab,06:46h,0.6m
25-03,22 - Sab,09:49h,1.0m
25-03,22 - Sab,13:02h,0.8m
25-03,22 - Sab,17:10h,0.6m
25-03,22 - Sab,21:12h,1.3m
25-03,23 - Dom,00:14h,0.9m
25-03,23 - Dom,03:14h,1.2m
25-03,23 - Dom,07:08h,0.5m
25-03,23 - Dom,10:55h,1.1m
25-03,23 - Dom,17:55h,0.4m
25-03,23 - Dom,22:14h,1.4m
25-03,24 - Seg,01:10h,1.1m
25-03,24 - Seg,03:12h,1.2m
25-03,24 - Seg,07:31h,0.4m
25-03,24 - Seg,11:57h,1.2m
25-03,24 - Seg,18:29h,0.2m
25-03,24 - Seg,23:17h,1.5m
25-03,25 - Ter,07:51h,0.4m
25-03,25 - Ter,12:47h,1.4m
25-03,25 - Ter,19:02h,0.0m
25-03,26 - Qua,00:23h,1.6m
25-03,26 - Qua,08:06h,0.4m
25-03,26 - Qua,13:34h,1.6m
25-03,26 - Qua,19:34h,-0.1m
25-03,27 - Qui,01:23h,1.8m
25-03,27 - Qui,07:51h,0.4m
25-03,27 - Qui,14:16h,1.7m
25-03,27 - Qui,20:01h,-0.1m
25-03,28 - Sex,02:12h,1.8m
25-03,28 - Sex,07:25h,0.3m
25-03,28 - Sex,15:01h,1.8m
25-03,28 - Sex,20:14h,-0.1m
25-03,29 - Sab,03:01h,1.9m
25-03,29 - Sab,07:42h,0.2m
25-03,29 - Sab,15:42h,1.9m
25-03,29 - Sab,20:23h,0.0m
25-03,30 - Dom,03:47h,1.8m
25-03,30 - Dom,08:04h,0.1m
25-03,30 - Dom,16:21h,1.9m
25-03,30 - Dom,20:44h,0.1m
25-03,31 - Seg,04:29h,1.6m
25-03,31 - Seg,08:38h,0.1m
25-03,31 - Seg,12:04h,0.9m
25-03,31 - Seg,17:04h,1.8m
25-03,31 - Seg,21:06h,0.2m
25-04,01 - Ter,00:12h,0.8m
25-04,01 - Ter,01:57h,0.7m
25-04,01 - Ter,05:14h,1.4m
25-04,01 - Ter,09:06h,0.0m
25-04,01 - Ter,12:40h,1.0m
25-04,01 - Ter,14:23h,0.9m
25-04,01 - Ter,17:53h,1.7m
25-04,01 - Ter,21:36h,0.4m
25-04,02 - Qua,00:55h,1.1m
25-04,02 - Qua,03:12h,0.8m
25-04,02 - Qua,06:06h,1.2m
25-04,02 - Qua,09:49h,0.1m
25-04,02 - Qua,13:16h,1.0m
25-04,02 - Qua,15:25h,0.8m
25-04,02 - Qua,18:44h,1.5m
25-04,02 - Qua,22:06h,0.5m
25-04,03 - Qui,01:31h,1.3m
25-04,03 - Qui,04:25h,0.7m
25-04,03 - Qui,07:02h,1.1m
25-04,03 - Qui,10:25h,0.2m
25-04,03 - Qui,14:01h,1.0m
25-04,03 - Qui,16:25h,0.7m
25-04,03 - Qui,19:42h,1.3m
25-04,03 - Qui,22:51h,0.7m
25-04,04 - Sex,02:08h,1.4m
