mes,dia,hora,altura
25-10,03 - Sex,19:53h,0.4m
25-10,04 - Sab,01:12h,1.6m
25-10,04 - Sab,06:59h,-0.1m
25-10,04 - Sab,12:42h,1.7m
25-10,04 - Sab,19:44h,0.4m
25-10,05 - Dom,01:51h,1.7m
25-10,05 - Dom,07:19h,-0.2m
25-10,05 - Dom,13:42h,1.7m
25-10,05 - Dom,19:21h,0.4m
25-10,06 - Seg,02:27h,1.9m
25-10,06 - Seg,07:40h,-0.2m
25-10,06 - Seg,14:36h,1.8m
25-10,06 - Seg,19:27h,0.3m
25-10,07 - Ter,03:06h,1.9m
25-10,07 - Ter,07:59h,-0.1m
25-10,07 - Ter,15:21h,1.7m
25-10,07 - Ter,19:55h,0.2m
25-10,08 - Qua,03:49h,1.9m
25-10,08 - Qua,08:14h,0.1m
25-10,08 - Qua,16:08h,1.7m
25-10,08 - Qua,20:16h,0.1m
25-10,09 - Qui,04:31h,1.8m
25-10,09 - Qui,08:44h,0.2m
25-10,09 - Qui,11:59h,0.8m
25-10,09 - Qui,13:17h,0.7m
25-10,09 - Qui,16:57h,1.5m
25-10,09 - Qui,20:55h,0.0m
25-10,10 - Sex,00:25h,0.9m
25-10,10 - Sex,05:17h,1.7m
25-10,10 - Sex,09:08h,0.3m
25-10,10 - Sex,12:17h,1.0m
25-10,10 - Sex,14:42h,0.7m
25-10,10 - Sex,17:46h,1.4m
25-10,10 - Sex,21:25h,0.1m
25-10,11 - Sab,01:01h,1.0m
25-10,11 - Sab,02:57h,0.8m
25-10,11 - Sab,06:10h,1.5m
25-10,11 - Sab,09:49h,0.5m
25-10,11 - Sab,13:01h,1.2m
25-10,11 - Sab,15:51h,0.7m
25-10,11 - Sab,18:34h,1.2m
25-10,11 - Sab,22:04h,0.2m
25-10,12 - Dom,01:34h,1.0m
25-10,12 - Dom,04:01h,0.7m
25-10,12 - Dom,07:12h,1.4m
25-10,12 - Dom,10:19h,0.7m
25-10,12 - Dom,13:44h,1.4m
25-10,12 - Dom,16:53h,0.7m
25-10,12 - Dom,19:34h,1.1m
25-10,12 - Dom,22:53h,0.3m
25-10,13 - Seg,02:06h,1.0m
25-10,13 - Seg,05:01h,0.5m
25-10,13 - Seg,08:21h,1.3m
25-10,13 - Seg,11:06h,0.9m
25-10,13 - Seg,14:23h,1.4m
25-10,13 - Seg,17:51h,0.6m
25-10,13 - Seg,20:46h,1.0m
25-10,13 - Seg,23:44h,0.5m
25-10,14 - Ter,02:46h,0.9m
25-10,14 - Ter,05:49h,0.4m
25-10,14 - Ter,09:40h,1.3m
25-10,14 - Ter,12:16h,1.0m
25-10,14 - Ter,15:06h,1.3m
25-10,14 - Ter,18:40h,0.6m
25-10,14 - Ter,21:53h,1.1m
25-10,15 - Qua,00:55h,0.7m
25-10,15 - Qua,03:06h,0.8m
25-10,15 - Qua,06:29h,0.3m
25-10,15 - Qua,10:51h,1.4m
25-10,15 - Qua,14:12h,1.0m
25-10,15 - Qua,15:55h,1.1m
25-10,15 - Qua,19:16h,0.6m
25-10,15 - Qua,22:55h,1.2m
25-10,16 - Qui,00:44h,0.7m
25-10,16 - Qui,03:16h,0.9m
25-10,16 - Qui,06:53h,0.3m
25-10,16 - Qui,11:16h,1.4m
25-10,16 - Qui,19:42h,0.6m
25-10,16 - Qui,23:14h,1.1m
25-10,17 - Sex,07:32h,0.4m
25-10,17 - Sex,12:34h,1.6m
25-10,17 - Sex,17:17h,0.5m
25-10,18 - Sab,00:29h,1.5m
25-10,18 - Sab,06:01h,0.3m
25-10,18 - Sab,13:17h,1.6m
25-10,18 - Sab,18:01h,0.3m
25-10,19 - Dom,01:06h,1.6m
25-10,19 - Dom,06:12h,0.2m
25-10,19 - Dom,14:04h,1.7m
25-10,19 - Dom,18:40h,0.1m
25-10,20 - Seg,01:46h,1.7m
25-10,20 - Seg,06:42h,0.1m
25-10,20 - Seg,14:49h,1.6m
25-10,20 - Seg,19:14h,-0.1m
25-10,21 - Ter,02:16h,1.7m
25-10,21 - Ter,07:08h,0.0m
25-10,21 - Ter,15:29h,1.6m
25-10,21 - Ter,19:55h,-0.1m
25-10,22 - Qua,02:55h,1.7m
25-10,22 - Qua,07:42h,0.0m
25-10,22 - Qua,16:08h,1.5m
25-10,22 - Qua,20:25h,-0.1m
25-10,23 - Qui,03:29h,1.7m
25-10,23 - Qui,08:08h,0.0m
25-10,23 - Qui,12:12h,1.1m
25-10,23 - Qui,16:49h,1.4m
25-10,23 - Qui,21:02h,0.0m
25-10,24 - Sex,04:06h,1.7m
25-10,24 - Sex,08:44h,0.1m
25-10,24 - Sex,12:40h,1.2m
25-10,24 - Sex,15:01h,1.0m
25-10,24 - Sex,17:25h,1.3m
25-10,24 - Sex,21:34h,0.1m
25-10,25 - Sab,04:51h,1.6m
25-10,25 - Sab,09:10h,0.2m
25-10,25 - Sab,13:06h,1.3m
25-10,25 - Sab,15:59h,1.0m
25-10,25 - Sab,18:04h,1.1m
25-10,25 - Sab,22:06h,0.2m
25-10,26 - Dom,05:38h,1.5m
25-10,26 - Dom,09:49h,0.3m
25-10,26 - Dom,13:40h,1.4m
25-10,26 - Dom,16:49h,0.9m
25-10,26 - Dom,19:01h,1.1m
25-10,26 - Dom,22:49h,0.4m
25-10,27 - Seg,06:27h,1.4m
25-10,27 - Seg,10:17h,0.4m
25-10,27 - Seg,14:04h,1.4m
25-10,27 - Seg,17:25h,0.8m
25-10,27 - Seg,19:59h,1.0m
25-10,27 - Seg,23:36h,0.5m
25-10,28 - Ter,07:19h,1.4m
25-10,28 - Ter,10:59h,0.6m
25-10,28 - Ter,14:31h,1.3m
25-10,28 - Ter,18:02h,0.7m
25-10,28 - Ter,20:59h,1.0m
25-10,29 - Qua,04:02h,0.6m
25-10,29 - Qua,08:16h,1.3m
25-10,29 - Qua,11:42h,0.8m
25-10,29 - Qua,14:49h,1.2m
25-10,29 - Qua,18:29h,0.6m
25-10,29 - Qua,22:01h,1.1m
25-10,30 - Qui,04:53h,0.4m
25-10,30 - Qui,09:12h,1.4m
25-10,30 - Qui,12:29h,0.9m
25-10,30 - Qui,15:01h,1.1m
25-10,30 - Qui,18:53h,0.5m
25-10,30 - Qui,22:57h,1.3m
25-10,31 - Sex,05:29h,0.2m
25-10,31 - Sex,10:08h,1.4m
25-10,31 - Sex,19:08h,0.5m
25-10,31 - Sex,23:47h,1.4m
25-11,01 - Sab,06:02h,0.1m
25-11,01 - Sab,11:08h,1.5m
25-11,01 - Sab,19:27h,0.4m
25-11,02 - Dom,00:29h,1.6m
25-11,02 - Dom,06:32h,0.0m
25-11,02 - Dom,12:12h,1.6m
25-11,02 - Dom,19:34h,0.4m
25-11,03 - Seg,01:12h,1.7m
25-11,03 - Seg,06:57h,0.0m
25-11,03 - Seg,13:12h,1.6m
25-11,03 - Seg,18:59h,0.4m
25-11,04 - Ter,01:59h,1.8m
25-11,04 - Ter,07:12h,0.1m
25-11,04 - Ter,14:06h,1.6m
25-11,04 - Ter,19:02h,0.3m
25-11,05 - Qua,02:44h,1.9m
25-11,05 - Qua,07:23h,0.2m
25-11,05 - Qua,15:01h,1.6m
25-11,05 - Qua,19:21h,0.2m
25-11,06 - Qui,03:27h,1.9m
25-11,06 - Qui,07:51h,0.3m
25-11,06 - Qui,11:53h,0.7m
25-11,06 - Qui,15:49h,1.5m
25-11,06 - Qui,19:59h,0.1m
25-11,06 - Qui,23:57h,0.7m
25-11,07 - Sex,04:14h,1.9m
25-11,07 - Sex,08:14h,0.4m
25-11,07 - Sex,11:12h,0.9m
25-11,07 - Sex,13:12h,0.7m
25-11,07 - Sex,16:36h,1.4m
25-11,07 - Sex,20:29h,0.1m
25-11,08 - Sab,01:02h,0.7m
25-11,08 - Sab,05:04h,1.8m
25-11,08 - Sab,08:55h,0.5m
25-11,08 - Sab,11:59h,1.1m
25-11,08 - Sab,14:25h,0.7m
25-11,08 - Sab,17:23h,1.3m
25-11,08 - Sab,21:08h,0.1m
25-11,09 - Dom,00:14h,0.8m
25-11,09 - Dom,02:10h,0.6m
25-11,09 - Dom,06:01h,1.6m
25-11,09 - Dom,09:31h,0.6m
25-11,09 - Dom,12:46h,1.3m
25-11,09 - Dom,15:31h,0.8m
25-11,09 - Dom,18:16h,1.2m
25-11,09 - Dom,21:57h,0.2m
25-11,10 - Seg,01:04h,0.8m
25-11,10 - Seg,03:17h,0.6m
25-11,10 - Seg,07:01h,1.5m
25-11,10 - Seg,10:14h,0.7m
25-11,10 - Seg,13:34h,1.4m
25-11,10 - Seg,16:32h,0.7m
25-11,10 - Seg,19:16h,1.1m
25-11,10 - Seg,22:47h,0.4m
25-11,11 - Ter,01:53h,0.8m
25-11,11 - Ter,04:19h,0.5m
25-11,11 - Ter,08:01h,1.4m
25-11,11 - Ter,11:06h,0.8m
25-11,11 - Ter,14:21h,1.3m
25-11,11 - Ter,17:29h,0.7m
25-11,11 - Ter,20:19h,1.1m
25-11,11 - Ter,23:46h,0.5m
25-11,12 - Qua,02:34h,0.8m
25-11,12 - Qua,05:16h,0.5m
25-11,12 - Qua,09:02h,1.3m
25-11,12 - Qua,12:10h,0.8m
25-11,12 - Qua,15:12h,1.2m
25-11,12 - Qua,18:17h,0.7m
25-11,12 - Qua,21:21h,1.2m
25-11,13 - Qui,00:53h,0.6m
25-11,13 - Qui,03:14h,0.8m
25-11,13 - Qui,06:06h,0.5m
25-11,13 - Qui,10:04h,1.3m
25-11,13 - Qui,13:34h,0.8m
25-11,13 - Qui,16:08h,1.1m
25-11,13 - Qui,19:01h,0.8m
25-11,13 - Qui,22:14h,1.3m
25-11,14 - Sex,02:06h,0.6m
25-11,14 - Sex,04:02h,0.7m
25-11,14 - Sex,06:57h,0.5m
25-11,14 - Sex,11:04h,1.4m
25-11,14 - Sex,15:04h,0.7m
25-11,14 - Sex,17:25h,0.9m
25-11,14 - Sex,19:16h,0.8m
25-11,14 - Sex,23:04h,1.4m
25-11,15 - Sab,03:40h,0.6m
25-11,15 - Sab,12:02h,1.4m
25-11,15 - Sab,16:27h,0.5m
25-11,15 - Sab,23:51h,1.4m
25-11,16 - Dom,07:04h,0.3m
25-11,16 - Dom,11:47h,1.5m
25-11,16 - Dom,19:46h,0.7m
25-11,16 - Dom,23:49h,1.3m
25-11,17 - Seg,00:29h,1.5m
25-11,17 - Seg,05:23h,0.3m
25-11,17 - Seg,13:40h,1.5m
25-11,17 - Seg,18:14h,0.2m
25-11,18 - Ter,01:06h,1.6m
25-11,18 - Ter,06:02h,0.3m
25-11,18 - Ter,14:19h,1.5m
25-11,18 - Ter,19:01h,0.0m
25-11,19 - Qua,01:49h,1.7m
25-11,19 - Qua,06:38h,0.2m
25-11,19 - Qua,15:02h,1.5m
25-11,19 - Qua,19:40h,0.0m
25-11,20 - Qui,02:27h,1.7m
25-11,20 - Qui,07:08h,0.2m
25-11,20 - Qui,12:04h,1.0m
25-11,20 - Qui,15:46h,1.4m
25-11,20 - Qui,20:14h,0.0m
25-11,21 - Sex,03:08h,1.7m
25-11,21 - Sex,07:49h,0.2m
25-11,21 - Sex,11:51h,1.1m
25-11,21 - Sex,13:23h,1.0m
25-11,21 - Sex,16:21h,1.3m
25-11,21 - Sex,20:53h,0.1m
25-11,22 - Sab,03:53h,1.7m
25-11,22 - Sab,08:17h,0.2m
25-11,22 - Sab,12:12h,1.2m
25-11,22 - Sab,14:25h,1.0m
25-11,22 - Sab,17:02h,1.3m
25-11,22 - Sab,21:27h,0.1m
25-11,23 - Dom,04:34h,1.7m
25-11,23 - Dom,08:57h,0.3m
25-11,23 - Dom,12:51h,1.3m
25-11,23 - Dom,15:19h,1.0m
25-11,23 - Dom,17:51h,1.2m
25-11,23 - Dom,22:06h,0.2m
25-11,24 - Seg,05:16h,1.6m
25-11,24 - Seg,09:29h,0.3m
25-11,24 - Seg,13:17h,1.3m
25-11,24 - Seg,16:08h,0.9m
25-11,24 - Seg,18:40h,1.1m
25-11,24 - Seg,22:53h,0.3m
25-11,25 - Ter,06:04h,1.6m
25-11,25 - Ter,10:04h,0.4m
25-11,25 - Ter,13:51h,1.3m
25-11,25 - Ter,16:55h,0.8m
25-11,25 - Ter,19:29h,1.1m
25-11,25 - Ter,23:46h,0.4m
25-11,26 - Qua,06:57h,1.5m
25-11,26 - Qua,10:47h,0.5m
25-11,26 - Qua,14:14h,1.2m
25-11,26 - Qua,17:25h,0.7m
25-11,26 - Qua,20:23h,1.1m
25-11,27 - Qui,01:23h,0.5m
25-11,27 - Qui,07:47h,1.4m
25-11,27 - Qui,11:21h,0.7m
25-11,27 - Qui,14:36h,1.2m
25-11,27 - Qui,17:59h,0.7m
25-11,27 - Qui,21:17h,1.2m
25-11,28 - Sex,04:01h,0.4m
25-11,28 - Sex,08:40h,1.4m
25-11,28 - Sex,12:06h,0.8m
25-11,28 - Sex,14:57h,1.1m
25-11,28 - Sex,18:21h,0.6m
25-11,28 - Sex,22:10h,1.3m
25-11,29 - Sab,04:55h,0.3m
25-11,29 - Sab,09:34h,1.4m
25-11,29 - Sab,13:06h,0.9m
25-11,29 - Sab,15:06h,1.0m
25-11,29 - Sab,18:51h,0.5m
25-11,29 - Sab,23:02h,1.4m
25-11,30 - Dom,05:40h,0.2m
25-11,30 - Dom,10:36h,1.4m
25-11,30 - Dom,19:12h,0.5m
25-11,30 - Dom,23:53h,1.5m
25-12,01 - Seg,06:19h,0.2m
25-12,01 - Seg,11:46h,1.4m
25-12,01 - Seg,19:44h,0.5m
25-12,02 - Ter,00:42h,1.7m
25-12,02 - Ter,06:51h,0.3m
25-12,02 - Ter,12:51h,1.5m
25-12,02 - Ter,20:19h,0.4m
25-12,03 - Qua,01:32h,1.8m
25-12,03 - Qua,07:04h,0.4m
25-12,03 - Qua,13:49h,1.5m
25-12,03 - Qua,18:42h,0.4m
25-12,04 - Qui,02:21h,1.9m
25-12,04 - Qui,07:06h,0.5m
25-12,04 - Qui,09:10h,0.6m
25-12,04 - Qui,14:40h,1.5m
25-12,04 - Qui,19:06h,0.3m
25-12,05 - Sex,03:12h,1.9m
25-12,05 - Sex,07:29h,0.5m
25-12,05 - Sex,09:59h,0.7m
25-12,05 - Sex,11:47h,0.6m
25-12,05 - Sex,15:27h,1.5m
25-12,05 - Sex,19:47h,0.2m
25-12,05 - Sex,22:08h,0.5m
25-12,05 - Sex,23:38h,0.4m
25-12,06 - Sab,04:04h,1.9m
25-12,06 - Sab,08:06h,0.6m
25-12,06 - Sab,10:53h,0.9m
25-12,06 - Sab,12:59h,0.7m
25-12,06 - Sab,16:14h,1.4m
25-12,06 - Sab,20:21h,0.2m
25-12,06 - Sab,23:02h,0.5m
25-12,07 - Dom,00:38h,0.4m
25-12,07 - Dom,04:59h,1.8m
25-12,07 - Dom,08:49h,0.6m
25-12,07 - Dom,11:49h,1.1m
25-12,07 - Dom,14:02h,0.8m
25-12,07 - Dom,17:04h,1.4m
25-12,07 - Dom,21:04h,0.2m
25-12,07 - Dom,23:57h,0.6m
25-12,08 - Seg,01:38h,0.5m
25-12,08 - Seg,05:49h,1.7m
25-12,08 - Seg,09:29h,0.6m
25-12,08 - Seg,12:46h,1.2m
25-12,08 - Seg,15:06h,0.9m
25-12,08 - Seg,17:59h,1.3m
25-12,08 - Seg,21:55h,0.2m
25-12,09 - Ter,00:51h,0.7m
25-12,09 - Ter,02:44h,0.5m
25-12,09 - Ter,06:42h,1.6m
25-12,09 - Ter,10:12h,0.5m
25-12,09 - Ter,13:40h,1.3m
25-12,09 - Ter,16:10h,0.9m
25-12,09 - Ter,18:55h,1.2m
25-12,09 - Ter,22:44h,0.3m
25-12,10 - Qua,01:46h,0.8m
25-12,10 - Qua,03:53h,0.6m
25-12,10 - Qua,07:32h,1.4m
25-12,10 - Qua,11:02h,0.5m
25-12,10 - Qua,14:29h,1.3m
25-12,10 - Qua,17:10h,0.9m
25-12,10 - Qua,19:53h,1.2m
25-12,10 - Qua,23:31h,0.4m
25-12,11 - Qui,02:36h,0.8m
25-12,11 - Qui,04:57h,0.6m
25-12,11 - Qui,08:23h,1.3m
25-12,11 - Qui,11:57h,0.5m
25-12,11 - Qui,15:17h,1.3m
25-12,11 - Qui,18:04h,0.9m
25-12,11 - Qui,20:51h,1.2m
25-12,12 - Sex,00:19h,0.4m
25-12,12 - Sex,03:23h,0.9m
25-12,12 - Sex,05:57h,0.6m
25-12,12 - Sex,09:19h,1.3m
25-12,12 - Sex,12:55h,0.6m
25-12,12 - Sex,16:10h,1.1m
25-12,12 - Sex,18:46h,0.9m
25-12,12 - Sex,21:42h,1.2m
25-12,13 - Sab,01:14h,0.5m
25-12,13 - Sab,04:16h,0.9m
25-12,13 - Sab,06:51h,0.7m
25-12,13 - Sab,10:17h,1.2m
25-12,13 - Sab,14:04h,0.6m
25-12,13 - Sab,17:06h,1.0m
25-12,13 - Sab,19:02h,0.9m
25-12,13 - Sab,22:25h,1.3m
25-12,14 - Dom,02:17h,0.6m
25-12,14 - Dom,05:16h,0.8m
25-12,14 - Dom,07:42h,0.7m
25-12,14 - Dom,11:21h,1.2m
25-12,14 - Dom,15:36h,0.6m
25-12,14 - Dom,23:08h,1.4m
25-12,15 - Seg,03:27h,0.6m
25-12,15 - Seg,06:25h,0.8m
25-12,15 - Seg,08:27h,0.7m
25-12,15 - Seg,12:21h,1.3m
25-12,15 - Seg,17:06h,0.5m
25-12,15 - Seg,23:55h,1.5m
25-12,16 - Ter,04:31h,0.6m
25-12,16 - Ter,07:47h,0.8m
25-12,16 - Ter,13:12h,1.3m
25-12,16 - Ter,18:10h,0.3m
25-12,17 - Qua,00:38h,1.5m
25-12,17 - Qua,05:21h,0.5m
25-12,17 - Qua,09:55h,0.8m
25-12,17 - Qua,14:01h,1.4m
25-12,17 - Qua,19:01h,0.2m
25-12,18 - Qui,01:19h,1.6m
25-12,18 - Qui,06:06h,0.4m
25-12,18 - Qui,14:44h,1.4m
25-12,18 - Qui,19:42h,0.1m
25-12,19 - Sex,02:06h,1.7m
25-12,19 - Sex,06:53h,0.4m
25-12,19 - Sex,15:21h,1.4m
25-12,19 - Sex,20:16h,0.0m
25-12,20 - Sab,02:53h,1.7m
25-12,20 - Sab,07:29h,0.4m
25-12,20 - Sab,11:23h,1.0m
25-12,20 - Sab,16:02h,1.4m
25-12,20 - Sab,20:55h,0.0m
25-12,21 - Dom,03:34h,1.8m
25-12,21 - Dom,08:06h,0.3m
25-12,21 - Dom,12:02h,1.1m
25-12,21 - Dom,13:44h,1.0m
25-12,21 - Dom,16:47h,1.4m
25-12,21 - Dom,21:27h,0.1m
25-12,22 - Seg,04:16h,1.7m
25-12,22 - Seg,08:49h,0.3m
25-12,22 - Seg,12:36h,1.1m
25-12,22 - Seg,14:36h,1.0m
25-12,22 - Seg,17:25h,1.3m
25-12,22 - Seg,22:04h,0.1m
25-12,23 - Ter,05:02h,1.7m
25-12,23 - Ter,09:19h,0.3m
25-12,23 - Ter,13:06h,1.2m
25-12,23 - Ter,15:19h,1.0m
25-12,23 - Ter,18:08h,1.3m
25-12,23 - Ter,22:42h,0.2m
25-12,24 - Qua,05:49h,1.7m
25-12,24 - Qua,09:59h,0.3m
25-12,24 - Qua,13:44h,1.2m
25-12,24 - Qua,16:06h,0.9m
25-12,24 - Qua,19:01h,1.3m
25-12,24 - Qua,23:21h,0.3m
25-12,25 - Qui,06:32h,1.6m
25-12,25 - Qui,10:34h,0.4m
25-12,25 - Qui,14:08h,1.2m
25-12,25 - Qui,16:55h,0.9m
25-12,25 - Qui,19:51h,1.2m
25-12,26 - Sex,00:10h,0.4m
25-12,26 - Sex,07:16h,1.5m
25-12,26 - Sex,11:06h,0.5m
25-12,26 - Sex,14:36h,1.1m
25-12,26 - Sex,17:25h,0.8m
25-12,26 - Sex,20:40h,1.3m
25-12,27 - Sab,01:23h,0.5m
25-12,27 - Sab,08:06h,1.4m
25-12,27 - Sab,11:51h,0.6m
25-12,27 - Sab,15:01h,1.1m
25-12,27 - Sab,18:02h,0.7m
25-12,27 - Sab,21:27h,1.3m
25-12,28 - Dom,04:44h,0.5m
25-12,28 - Dom,09:02h,1.3m
25-12,28 - Dom,12:32h,0.7m
25-12,28 - Dom,15:25h,1.0m
25-12,28 - Dom,18:34h,0.6m
25-12,28 - Dom,22:21h,1.4m
25-12,29 - Seg,05:51h,0.5m
25-12,29 - Seg,10:04h,1.2m
25-12,29 - Seg,13:32h,0.8m
25-12,29 - Seg,15:53h,0.9m
25-12,29 - Seg,19:06h,0.5m
25-12,29 - Seg,23:19h,1.5m
25-12,30 - Ter,06:53h,0.4m
25-12,30 - Ter,11:19h,1.2m
25-12,30 - Ter,19:49h,0.4m
25-12,31 - Qua,00:19h,1.6m
25-12,31 - Qua,07:59h,0.5m
25-12,31 - Qua,12:31h,1.3m
25-12,31 - Qua,20:29h,0.3m
